genres,original_title,director,production_companies
"action,comedy,crime,fantasy",R.I.P.D.,Robert Schwentke,"Universal Pictures,Original Film,Dark Horse Entertainment"
"action,adventure,fantasy",Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,"Walt Disney Pictures,Jerry Bruckheimer Films"
"adventure,science fiction,thriller",The Hunger Games: Mockingjay - Part 1,Francis Lawrence,"Lionsgate,Color Force"
"mystery,thriller",The Da Vinci Code,Ron Howard,"Columbia Pictures,Imagine Entertainment,Skylark Productions,Government of Malta"
"adventure,animation,comedy,family",Rio 2,Carlos Saldanha,"Blue Sky Studios,Twentieth Century Fox Animation"
"action,adventure,science fiction,thriller",X2,Bryan Singer,"Twentieth Century Fox Film Corporation,Donners' Company,Bad Hat Harry Productions,Marvel Enterprises,XM2 Productions,XF2 Canada Productions"
"action,crime,thriller",Fast Five,Justin Lin,"Universal Pictures,Original Film,One Race Productions"
"action,adventure,crime,mystery",Sherlock Holmes: A Game of Shadows,Guy Ritchie,"Village Roadshow Pictures,Silver Pictures,Lin Pictures,Warner Bros.,Wigram Productions"
"action,adventure,fantasy",Clash of the Titans,Louis Leterrier,"The Zanuck Company,Legendary Pictures,Thunder Road Pictures,Warner Bros.,Moving Picture Company (MPC)"
"action,adventure,science fiction",Total Recall,Paul Verhoeven,"TriStar Pictures,Carolco Pictures,Carolco International N.V."
"action,adventure,fantasy",The 13th Warrior,John McTiernan,Touchstone Pictures
"action,thriller",The Bourne Legacy,Tony Gilroy,"Universal Pictures,Dentsu,Relativity Media,Kennedy/Marshall Company, The,Captivate Entertainment"
"action,crime,fantasy",Batman & Robin,Joel Schumacher,"PolyGram Filmed Entertainment,Warner Bros."
"comedy,family,fantasy",How the Grinch Stole Christmas,Ron Howard,"Imagine Entertainment,Universal Pictures"
"action,adventure,science fiction,thriller",The Day After Tomorrow,Roland Emmerich,"Lions Gate Films,Twentieth Century Fox Film Corporation,Centropolis Entertainment,Mark Gordon Productions,Mel's Cite du Cinema"
"action,adventure,thriller",Mission: Impossible II,John Woo,"Paramount Pictures,Cruise/Wagner Productions,Munich Film Partners & Company (MFP) MI2 Productions"
drama,The Perfect Storm,Wolfgang Petersen,"Warner Bros.,Baltimore Spring Creek Productions,Radiant Productions"
"action,adventure,fantasy,thriller",4: Rise of the Silver Surfer,Tim Story,"Ingenious Film Partners,Twentieth Century Fox Film Corporation,1492 Pictures,Dune Entertainment,Constantin Film Produktion,Bernd Eichinger Productions,Marvel Enterprises"
"action,adventure,drama",Life of Pi,Ang Lee,"Ingenious Film Partners,Ingenious Media,Dune Entertainment,Fox 2000 Pictures,Big Screen Productions,Haishang Films"
"action,fantasy,horror,thriller",Ghost Rider,Mark Steven Johnson,"Columbia Pictures Corporation,Relativity Media,Michael De Luca Productions,Marvel Enterprises,Crystal Sky Pictures,GH One,Vengeance Productions Pty. Ltd."
"action,thriller",Jason Bourne,Paul Greengrass,"The Kennedy/Marshall Company,Captivate Entertainment,Pearl Street Films,Double Negative,Perfect World (Beijing) Pictures Co."
"action,adventure,comedy",Charlie's Angels: Full Throttle,McG,"Columbia Pictures,Wonderland Sound and Vision,Tall Trees Productions,Flower Films (II)"
"adventure,mystery,science fiction",Prometheus,Ridley Scott,"Twentieth Century Fox Film Corporation,Dune Entertainment,Scott Free Productions,Brandywine Productions"
"adventure,animation,comedy,family",Stuart Little 2,Rob Minkoff,"Columbia Pictures,Sony Pictures Entertainment"
"action,drama,science fiction,thriller",Elysium,Neill Blomkamp,"TriStar Pictures,Media Rights Capital,Sony Pictures Entertainment (SPE),QED International,Alpha Core,Genre Films,Simon Kinberg Productions"
"action,science fiction",The Chronicles of Riddick,David Twohy,"One Race Films,Radar Pictures"
"action,science fiction",RoboCop,Jos\u00e9 Padilha,"Columbia Pictures,Strike Entertainment,Metro-Goldwyn-Mayer (MGM)"
"action,family,science fiction",Speed Racer,Lilly Wachowski,"Village Roadshow Pictures,Studio Babelsberg,Anarchos Productions,Silver Pictures,Warner Bros.,Velocity Productions"
"comedy,drama,romance",How Do You Know,James L. Brooks,"Columbia Pictures,Gracie Films,Road Rebel"
"action,comedy",Knight and Day,James Mangold,"Tree Line Films,Twentieth Century Fox Film Corporation,Dune Entertainment,Regency Enterprises,Pink Machine"
"action,adventure,mystery,science fiction",Oblivion,Joseph Kosinski,"Universal Pictures,Chernin Entertainment,Relativity Media,Monolith Pictures (III),Radical Studios"
"action,adventure,science fiction",Star Wars: Episode III - Revenge of the Sith,George Lucas,Lucasfilm
"action,adventure,science fiction",Star Wars: Episode II - Attack of the Clones,George Lucas,Lucasfilm
"animation,comedy,family","Monsters, Inc.",Pete Docter,"Walt Disney Pictures,Pixar Animation Studios"
"action,adventure,fantasy,science fiction",The Wolverine,James Mangold,"Twentieth Century Fox Film Corporation,Donners' Company,Marvel Entertainment,Bad Hat Harry Productions,Big Screen Productions,TSG Entertainment"
"action,adventure,science fiction",Star Wars: Episode I - The Phantom Menace,George Lucas,Lucasfilm
"adventure,animation,comedy,family,fantasy",The Croods,Chris Sanders,DreamWorks Animation
"adventure,comedy,family,fantasy",Astérix aux Jeux Olympiques,Thomas Langmann,"Constantin Film,TF1 Films Productions,Pathé Renn Productions,La Petite Reine,Tri Pictures,Sorolla Films,Novo RPI,Canal+,uFilm,Canal+ España,Le Tax Shelter du Gouvernement Fédéral de Belgique,Les Editions Albert René"
"action,drama,history,war",Windtalkers,John Woo,"Lion Rock Productions,Metro-Goldwyn-Mayer (MGM)"
"action,adventure,drama",The Huntsman: Winter's War,Cedric Nicolas-Troyan,"Universal Pictures,Perfect World Pictures,Roth Films"
"action,adventure,comedy,fantasy,science fiction",Teenage Mutant Ninja Turtles,Jonathan Liebesman,"Paramount Pictures,Nickelodeon Movies,Platinum Dunes"
"drama,science fiction,thriller",Gravity,Alfonso Cuar\u00f3n,"Warner Bros.,Heyday Films,Esperanto Filmoj"
"action,adventure,thriller",Dante's Peak,Roger Donaldson,"Universal Pictures,Pacific Western"
"action,adventure,comedy,fantasy",Teenage Mutant Ninja Turtles: Out of the Shadows,Dave Green,"Paramount Pictures,Nickelodeon Movies,Platinum Dunes,5150 Action,Gama Entertainment Partners"
"action,adventure,science fiction",Fantastic Four,Josh Trank,"Twentieth Century Fox Film Corporation,Marv Films,Marvel Entertainment,Constantin Film.,Moving Picture Company (MPC),TSG Entertainment,Genre Films"
"action,adventure,comedy,family,fantasy",Night at the Museum,Shawn Levy,"Ingenious Film Partners,Twentieth Century Fox Film Corporation,1492 Pictures,21 Laps Entertainment"
"action,drama,thriller",San Andreas,Brad Peyton,"New Line Cinema,Village Roadshow Pictures,Warner Bros.,Flynn Picture Company"
"action,adventure,thriller",Tomorrow Never Dies,Roger Spottiswoode,Eon Productions
"action,drama,history,war",The Patriot,Roland Emmerich,"Centropolis Entertainment,Columbia Pictures Corporation,Mutual Film Company,Global Entertainment Productions GmbH & Company Medien KG"
"crime,thriller",Ocean's Twelve,Steven Soderbergh,"Village Roadshow Pictures,Section Eight,Jerry Weintraub Productions,Warner Bros.,WV Films III"
"action,comedy,drama,thriller",Mr. & Mrs. Smith,Doug Liman,"Weed Road Pictures,Summit Entertainment,Regency Enterprises,Epsilon Motion Pictures,New Regency Pictures"
"adventure,science fiction,thriller",Insurgent,Robert Schwentke,"Summit Entertainment,Mandeville Films,Red Wagon Entertainment,NeoReel"
drama,The Aviator,Martin Scorsese,"Miramax Films,Appian Way,Forward Pass,Cappa Productions,Warner Bros.,Initial Entertainment Group (IEG),IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG,Mel's Cite du Cinema"
comedy,Gulliver's Travels,Rob Letterman,"Twentieth Century Fox Film Corporation,Dune Entertainment,Davis Entertainment,Dune Entertainment III"
"action,comedy,crime",The Green Hornet,Michel Gondry,"Original Film,Sony Pictures Entertainment,Reliance BIG Entertainment"
"action,war",300: Rise of an Empire,Noam Murro,"Legendary Pictures,Hollywood Gang Productions,Atmosphere Entertainment MM,Warner Bros.,Nimar Studios,Cruel and Unusual Films"
"adventure,animation,comedy,family,fantasy",The Smurfs,Raja Gosnell,"Columbia Pictures,Sony Pictures Animation,Kerner Entertainment Company"
"animation,family",Home on the Range,Will Finn,Walt Disney Pictures
"adventure,science fiction",Allegiant,Robert Schwentke,"Summit Entertainment,Lionsgate,Mandeville Films,Red Wagon Entertainment"
"action,drama,science fiction",Real Steel,Shawn Levy,"DreamWorks SKG,21 Laps Entertainment,Reliance Entertainment,Touchstone Pictures,ImageMovers,Angry Films,Revolution Sun Studios,Kontsept Film Company,Wardour Street Pictures"
"animation,comedy,family,fantasy",The Smurfs 2,Raja Gosnell,"Columbia Pictures,Sony Pictures Animation,Kerner Entertainment Company,Hemisphere Media Capital,NeoReel"
"action,adventure,thriller",Speed 2: Cruise Control,Jan de Bont,"Twentieth Century Fox Film Corporation,Blue Tulip Productions"
"action,adventure,science fiction",Ender's Game,Gavin Hood,"Summit Entertainment,Chartoff Productions,Odd Lot Entertainment,K/O Paper Products,Digital Domain,Taleswapper"
"action,thriller",Live Free or Die Hard,Len Wiseman,"Ingenious Film Partners,Twentieth Century Fox Film Corporation,Dune Entertainment,Cheyenne Enterprises,Wintergreen Productions"
"action,adventure,fantasy",The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,"WingNut Films,New Line Cinema,The Saul Zaentz Company"
"action,adventure,comedy",Around the World in 80 Days,Frank Coraci,"Studio Babelsberg,Walden Media,Babelsberg Film,Mostow/Lieberman Productions,80 Days Productions,Spanknyce Films,Fitzwilliam Productions"
drama,Ali,Michael Mann,Columbia Pictures Corporation
"comedy,family,fantasy",The Cat in the Hat,Bo Welch,"Imagine Entertainment,DreamWorks SKG,Universal Pictures"
"action,science fiction","I, Robot",Alex Proyas,"Twentieth Century Fox Film Corporation,Laurence Mark Productions,Davis Entertainment,Overbrook Entertainment,Mediastream Vierte Film GmbH & Co. Vermarktungs KG,Canlaws Productions"
"action,adventure,drama,history,war",Kingdom of Heaven,Ridley Scott,"Studio Babelsberg,Twentieth Century Fox Film Corporation,Scott Free Productions,Kanzaman,Dune Films,BK,KOH,Reino del Cielo,Inside Track 3,Calle Cruzada"
"animation,comedy,family,fantasy",Stuart Little,Rob Minkoff,"Columbia Pictures Corporation,Global Medien KG,Franklin/Waterman Productions"
"animation,family,music,romance",The Princess and the Frog,Ron Clements,"Walt Disney Pictures,Walt Disney Animation Studios"
"adventure,drama,science fiction",The Martian,Ridley Scott,"Twentieth Century Fox Film Corporation,Scott Free Productions,Mid Atlantic Films,International Traders,TSG Entertainment,Genre Films"
"action,adventure,science fiction,thriller",The Island,Michael Bay,"DreamWorks SKG,Warner Bros.,Parkes/MacDonald Productions"
"comedy,romance",Town & Country,Peter Chelsom,New Line Cinema
"action,crime,thriller",Gone in Sixty Seconds,Dominic Sena,"Jerry Bruckheimer Films,Touchstone Pictures"
"action,adventure,drama",Gladiator,Ridley Scott,"DreamWorks SKG,Universal Pictures,Scott Free Productions,Red Wagon Entertainment,Mill Film,C & L,Dawliz"
"action,mystery,science fiction,thriller",Minority Report,Steven Spielberg,"DreamWorks SKG,Cruise/Wagner Productions,Amblin Entertainment,Twentieth Century Fox Film Corporation,Blue Tulip Productions,Ronald Shusett/Gary Goldman,Digital Image Associates"
"adventure,family,fantasy",Harry Potter and the Chamber of Secrets,Chris Columbus,"1492 Pictures,Heyday films,Warner Bros."
"action,adventure,thriller",Casino Royale,Martin Campbell,"Eon Productions,Stillking Films,Babelsberg Film"
"action,adventure,science fiction,thriller",Planet of the Apes,Tim Burton,"Twentieth Century Fox Film Corporation,Tim Burton Productions,Zanuck Company, The"
"action,science fiction,thriller",Terminator 2: Judgment Day,James Cameron,"Lightstorm Entertainment,Pacific Western,Canal+,Carolco Pictures,T2 Productions"
"crime,drama,history",Public Enemies,Michael Mann,"Universal Pictures,Appian Way,Forward Pass,Dentsu,Relativity Media,Tribeca Productions,Misher Films"
"crime,drama",American Gangster,Ridley Scott,"Imagine Entertainment,Universal Pictures,Scott Free Productions,Relativity Media,Film Rites"
"action,thriller",True Lies,James Cameron,"Twentieth Century Fox Film Corporation,Lightstorm Entertainment"
"crime,drama,thriller",The Taking of Pelham 1 2 3,Tony Scott,"Columbia Pictures,Escape Artists,Scott Free Productions,Relativity Media,Metro-Goldwyn-Mayer (MGM)"
"comedy,romance",Little Fockers,Paul Weitz,"Paramount Pictures,Universal Pictures,Everyman Pictures,Relativity Media,Dreamworks Pictures,Tribeca Productions"
"action,comedy,crime",The Other Guys,Adam McKay,"Columbia Pictures,Gary Sanchez Productions"
"action,drama,mystery,thriller",Eraser,Chuck Russell,"Kopelson Entertainment,Warner Bros."
"drama,western",Django Unchained,Quentin Tarantino,"Columbia Pictures,The Weinstein Company"
"animation,drama,family",The Hunchback of Notre Dame,Gary Trousdale,Walt Disney Pictures
"adventure,animation,comedy,family,fantasy",The Emperor's New Groove,Mark Dindal,"Walt Disney Pictures,Walt Disney Feature Animation"
"action,adventure,thriller",The Expendables 2,Simon West,"Nu Image Films,Millennium Films"
"action,adventure,mystery,thriller",National Treasure,Jon Turteltaub,"Walt Disney Pictures,Jerry Bruckheimer Films,Saturn Films,Junction Entertainment"
"action,adventure,family,fantasy",Eragon,Stefen Fangmeier,"Ingenious Film Partners,Twentieth Century Fox Film Corporation,Dune Entertainment,Major Studio Partners,Fox 2000 Pictures,Davis Entertainment,Mid Atlantic Films"
"family,fantasy",Where the Wild Things Are,Spike Jonze,"Village Roadshow Pictures,Legendary Pictures,Playtone,Wild Things Productions,Warner Bros."
"adventure,animation,family,fantasy",Epic,Chris Wedge,"Blue Sky Studios,Twentieth Century Fox Animation"
"action,romance,thriller",The Tourist,Florian Henckel von Donnersmarck,"Columbia Pictures,Spyglass Entertainment,Peninsula Films,StudioCanal,Sony Pictures Releasing,GK Films,Sony Pictures Worldwide Acquisitions (SPWA),Italian Tax Credit,Birnbaum/Barber,Cineroma SRL,French Tax Credit"
"action,fantasy,horror,mystery",End of Days,Peter Hyams,Beacon Communications
"action,drama,thriller",Blood Diamond,Edward Zwick,"Bedford Falls Productions,Lonely Film Productions GmbH & Co. KG.,Virtual Studios,Spring Creek Productions,Warner Bros.,Initial Entertainment Group (IEG),Liberty Pictures"
"comedy,crime,drama",The Wolf of Wall Street,Martin Scorsese,"Paramount Pictures,Appian Way,EMJAG Productions,Red Granite Pictures,Sikelia Productions"
"action,crime,fantasy",Batman Forever,Joel Schumacher,"Warner Bros.,Polygram Filmed Entertainment"
"action,adventure,science fiction,thriller",Starship Troopers,Paul Verhoeven,"TriStar Pictures,Touchstone Pictures,Big Bug Pictures"
"drama,science fiction",Cloud Atlas,Tom Tykwer,"Anarchos Productions,X-Filme Creative Pool,Ascension Pictures,ARD Degeto Film,Cloud Atlas Productions,Five Drops,Media Asia Group,Dreams of Dragon Picture"
"adventure,animation,family,fantasy",Legend of the Guardians: The Owls of Ga'Hoole,Zack Snyder,"Village Roadshow Pictures,Warner Bros.,Animal Logic,Cruel and Unusual Films"
"action,crime",Catwoman,Pitof,"Village Roadshow Pictures,DiNovi Pictures,Warner Bros.,Frantic Films,Maple Shade Films,Catwoman Films"
"action,adventure",Hercules,Brett Ratner,"Paramount Pictures,Metro-Goldwyn-Mayer (MGM),Radical Studios,Flynn Picture Company"
"adventure,animation,family,fantasy,science fiction",Treasure Planet,Ron Clements,"Walt Disney Pictures,Walt Disney Feature Animation"
"adventure,comedy,science fiction",Land of the Lost,Brad Silberling,"Universal Pictures,Mosaic Media Group,Relativity Media,Sid & Marty Krofft Pictures"
"action,adventure,thriller",The Expendables 3,Patrick Hughes,"Davis-Films,Nu Image Films,LionsGate,Millennium Films,Ex3 Productions,Fipex Holding"
"action,crime,thriller",Point Break,Ericson Core,"Studio Babelsberg,Alcon Entertainment,DMG Entertainment,Ehman Productions"
"adventure,comedy,family,fantasy",Son of the Mask,Lawrence Guterman,"New Line Cinema,Pathé Distribution"
